time,balance,unrealizedPL,pl,benchmark
15/04/24 18:12,96650.8528,75.3539,-3154.4483,1.06595
15/04/24 18:12,96650.8528,59.0523,-3154.4483,1.06594
15/04/24 18:12,96650.8528,59.0523,-3154.4483,1.06592
15/04/24 18:12,96650.8528,64.8709,-3154.4483,1.06594
15/04/24 18:12,96650.8528,52.622,-3154.4483,1.06588
15/04/24 18:13,96650.8528,55.7959,-3154.4483,1.0659
15/04/24 18:13,96650.8528,56.6758,-3154.4483,1.0659
15/04/24 18:13,96650.8528,57.1157,-3154.4483,1.0659
15/04/24 18:13,96650.8528,40.8045,-3154.4483,1.06586
15/04/24 18:13,96650.8528,43.3313,-3154.4483,1.06584
15/04/24 18:13,96650.8528,42.8915,-3154.4483,1.06584
15/04/24 18:13,96650.8528,42.8913,-3154.4483,1.06584
15/04/24 18:14,96650.8528,48.6586,-3154.4483,1.06582
15/04/24 18:14,96650.8528,57.2739,-3154.4483,1.06589
15/04/24 18:14,96650.8528,56.3937,-3154.4483,1.06589
15/04/24 18:14,96650.8528,53.6318,-3154.4483,1.06589
15/04/24 18:14,96650.8528,60.3998,-3154.4483,1.06585
15/04/24 18:15,96650.8528,52.2576,-3154.4483,1.06585
15/04/24 18:15,96650.8528,49.441,-3154.4483,1.06583
15/04/24 18:15,96650.8528,50.8636,-3154.4483,1.06582
15/04/24 18:15,96650.8528,48.1435,-3154.4483,1.06582
15/04/24 18:15,96650.8528,42.7007,-3154.4483,1.0658
15/04/24 18:16,96650.8528,41.3325,-3154.4483,1.06583
15/04/24 18:16,96650.8528,60.426,-3154.4483,1.06589
15/04/24 18:16,96650.8528,51.7347,-3154.4483,1.06587
15/04/24 18:16,96650.8528,53.102,-3154.4483,1.06588
15/04/24 18:16,96650.8528,58.1038,-3154.4483,1.06588
15/04/24 18:16,96650.8528,53.1018,-3154.4483,1.06588
15/04/24 18:17,96650.8528,62.4937,-3154.4483,1.06587
15/04/24 18:17,96650.8528,62.494,-3154.4483,1.06587
15/04/24 18:17,96650.8528,60.6389,-3154.4483,1.06586
15/04/24 18:17,96650.8528,33.0312,-3154.4483,1.06583
15/04/24 18:17,96650.8528,61.234,-3154.4483,1.06589
15/04/24 18:17,96650.8528,61.2341,-3154.4483,1.06589
15/04/24 18:18,96650.8528,65.3058,-3154.4483,1.06589
15/04/24 18:18,96650.8528,63.9385,-3154.4483,1.06588
15/04/24 18:18,96650.8528,62.5704,-3154.4483,1.06589
15/04/24 18:18,96650.8528,65.7445,-3154.4483,1.0659
15/04/24 18:18,96650.8528,64.7215,-3154.4483,1.06588
15/04/24 18:18,96650.8528,50.7595,-3154.4483,1.06589
15/04/24 18:19,96650.8528,-0.7061,-3154.4483,1.06576
15/04/24 18:19,96650.8528,-4.7809,-3154.4483,1.06576
15/04/24 18:20,96650.8528,-23.3407,-3154.4483,1.06566
15/04/24 18:21,96650.8528,-32.3614,-3154.4483,1.06566
15/04/24 18:23,96650.8528,-37.2212,-3154.4483,1.06556
15/04/24 18:23,96650.8528,-38.6021,-3154.4483,1.06553
15/04/24 18:23,96650.8528,-38.6372,-3154.4483,1.06553
15/04/24 18:24,96650.8528,-39.5032,-3154.4483,1.06552
15/04/24 18:24,96650.8528,-24.0822,-3154.4483,1.06552
15/04/24 18:24,96650.8528,-16.3518,-3154.4483,1.06557
15/04/24 18:24,96650.8528,-25.896,-3154.4483,1.06557
15/04/24 18:25,96650.8528,-53.9625,-3154.4483,1.06555
15/04/24 18:26,96650.8528,-32.6937,-3154.4483,1.06559
15/04/24 18:26,96650.8528,-34.0475,-3154.4483,1.06559
15/04/24 18:27,96650.85281,10.3448,-3154.4483,1.06569
2024-04-15 18:30:38,96649.5286,-1.3242,-3154.4483,1.06557
2024-04-15 18:30:48,96648.161,-2.6918,-3154.4483,1.06556
2024-04-15 18:30:59,96645.8662,-4.9866,-3154.4483,1.06553
2024-04-15 18:31:15,96649.5288,-1.324,-3154.4483,1.06556
2024-04-15 18:31:28,96662.6673,11.8145,-3154.4483,1.06556
2024-04-15 18:31:30,96662.6673,11.8145,-3154.4483,1.06556
2024-04-15 18:31:48,96664.9349,14.0821,-3154.4483,1.06556
2024-04-15 18:31:50,96664.9349,14.0821,-3154.4483,1.06556
2024-04-15 18:32:03,96614.5231,-36.3297,-3154.4483,1.06544
2024-04-15 18:32:08,96630.838,-20.0148,-3154.4483,1.06548
2024-04-15 18:32:18,96622.1988,-28.654,-3154.4483,1.06546
2024-04-15 18:32:28,96628.542,-22.3108,-3154.4483,1.06548
2024-04-15 18:32:40,96614.1115,-36.7413,-3154.4483,1.06546
2024-04-15 18:32:48,96611.8427,-39.0101,-3154.4483,1.06546
2024-04-15 18:33:08,96624.6337,-26.2191,-3154.4483,1.06548
2024-04-15 18:33:14,96630.1045,-20.7483,-3154.4483,1.06548
2024-04-15 18:33:39,96634.2684,-16.5844,-3154.4483,1.06548
2024-04-15 18:33:50,96646.0461,-4.8067,-3154.4483,1.06556
2024-04-15 18:34:50,96657.6855,6.8327,-3154.4483,1.06563
2024-04-15 18:35:49,96670.315,19.4622,-3154.4483,1.06567
2024-04-15 18:36:24,96682.0384,31.1856,-3154.4483,1.06568
2024-04-15 18:36:28,96682.0384,31.1856,-3154.4483,1.06568
2024-04-15 18:36:30,96650.8528,28.0111,-3154.4483,1.06568
2024-04-15 18:36:41,96650.8528,23.0704,-3154.4483,1.06568
2024-04-15 18:36:54,96650.8528,18.5424,-3154.4483,1.06568
2024-04-15 18:37:02,96650.8528,14.454,-3154.4483,1.06568
2024-04-15 18:37:11,96650.8528,18.556,-3154.4483,1.06569
2024-04-15 18:37:21,96650.8528,21.7648,-3154.4483,1.0657
2024-04-15 18:37:30,96650.8528,16.7491,-3154.4483,1.06568
2024-04-15 18:37:32,96650.8528,21.7516,-3154.4483,1.06569
2024-04-15 18:37:42,96650.8528,17.6212,-3154.4483,1.06569
2024-04-15 18:37:53,96650.8528,28.5873,-3154.4483,1.06572
2024-04-15 18:38:04,96650.8528,35.3621,-3154.4483,1.06571
2024-04-15 18:38:14,96650.8528,37.6294,-3154.4483,1.06573
2024-04-15 18:38:27,96650.8528,28.965,-3154.4483,1.06573
2024-04-15 18:38:33,96650.8528,49.386,-3154.4483,1.06573
2024-04-15 18:44:57,96650.8528,33.8768,-3154.4483,1.06561
2024-04-15 18:44:59,96650.8528,31.1418,-3154.4483,1.06559
2024-04-15 18:47:02,96543.7515,52.9624,-3457.8359,1.06525
2024-04-15 18:47:12,96543.7515,82.8071,-3457.8359,1.06528
2024-04-16 11:03:31,96738.4101,-679.919,-3253.3286,1.06091
2024-04-16 11:04:02,96738.4101,-675.7884,-3253.3286,1.06091
2024-04-16 11:04:32,96738.4101,-667.5519,-3253.3286,1.06097
2024-04-16 11:05:03,96738.4101,-677.1718,-3253.3286,1.0609
2024-04-16 11:05:06,96738.4101,-677.1817,-3253.3286,1.0609
2024-04-16 11:05:09,96738.4101,-675.8032,-3253.3286,1.0609
2024-04-16 11:05:18,96738.4101,-675.7983,-3253.3286,1.06091
2024-04-16 11:05:22,96738.4101,-675.7983,-3253.3286,1.0609
2024-04-16 11:05:25,96738.4101,-677.1718,-3253.3286,1.0609
2024-04-16 11:05:30,96738.4101,-677.1619,-3253.3286,1.0609
2024-04-16 11:05:51,96738.4101,-675.7785,-3253.3286,1.06091
2024-04-16 11:06:21,96738.4101,-682.5301,-3253.3286,1.06089
2024-04-16 11:06:51,96738.4101,-710.4406,-3253.3286,1.06084
2024-04-16 11:07:21,96738.4101,-727.0441,-3253.3286,1.06075
2024-04-16 11:07:51,96738.4101,-743.0863,-3253.3286,1.06072
2024-04-16 11:08:21,96738.4101,-725.2947,-3253.3286,1.06074
2024-04-16 11:08:51,96738.4101,-722.9659,-3253.3286,1.06077
2024-04-16 11:09:21,96738.4101,-727.1187,-3253.3286,1.06074
2024-04-16 11:09:51,96738.4101,-723.4699,-3253.3286,1.06075
2024-04-16 11:10:21,96738.4101,-727.6069,-3253.3286,1.06075
2024-04-16 11:10:51,96738.4101,-724.0721,-3253.3286,1.06074
2024-04-16 11:11:21,96738.4101,-740.6406,-3253.3286,1.06068
2024-04-16 11:11:51,96738.4101,-716.7844,-3253.3286,1.06076
2024-04-16 11:12:21,96738.4101,-730.5321,-3253.3286,1.06074
2024-04-16 11:12:51,96738.4101,-732.3408,-3253.3286,1.06075
2024-04-16 11:13:21,96738.4101,-739.2148,-3253.3286,1.06077
2024-04-16 11:13:51,96738.4101,-724.3077,-3253.3286,1.06081
2024-04-16 11:14:21,96738.4101,-732.5032,-3253.3286,1.06078
2024-04-16 11:14:51,96738.4101,-729.651,-3253.3286,1.06079
2024-04-16 11:15:21,96738.4101,-739.7021,-3253.3286,1.06078
2024-04-16 11:15:51,96738.4101,-741.0236,-3253.3286,1.06078
